description,title,url,price,retailer_sku_code,instock,current_price,promo_data
"Spring Home <br/>
Glutinous Rice Ball- Peanut <br/>
<small><span style= ""color: gray"">200g</span></small>
<br/>
<br/>
<span title=""Vegetarian 素"" style=""background-color: #04B404; color: white; font-family: Comic Sans MS; padding: 6px; border-radius: 25px;""><strong>Veg</strong></span>",S/Home Rice Ball Peanut 200G,https://a4ucontent.blob.core.windows.net/images/0008460_0.png,2.25,945,,2.25,
Dettol Wet Wipes SENSITIVE(V/PACK)10SX3P,Dettol Wet Wipes SENSITIVE(V/PACK)10SX3P,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,4.6,125825,,4.6,
"F/Jing <br/>
Bobo Chacha Q Jelly <br/>
<span style =""color:grey""> 200g </span>",F/Jing Bobo-Chacha Q Jelly 200G,https://a4ucontent.blob.core.windows.net/images/0051721_0.png,2.1,2096,,2.1,
"Sara Lee <br/>
Plain Pound Cake <br/>
<small><span style= ""color: gray"">300g</span></small>",Saralee Plain 300G,https://a4ucontent.blob.core.windows.net/images/0001213_0.png,5.5,940,,5.5,
Desitin Max Strength Original 56G,Desitin Max Strength Original 56G,https://a4ucontent.blob.core.windows.net/images/0052975_0.png,12.0,127165,,12.0,
"Johnson and Johnson<br/>
Powder Classic<br/>
<span style =""color:grey""> 100G</span>",J&J Powder Classic 100G,https://a4ucontent.blob.core.windows.net/images/0052638_0.png,1.25,24340,,1.25,
"Johnson & Johnson<br/>
Lasting Moisture Body Wash<br/>
<span style=""color: grey;"">750ML</span>",J&J Shw Foam 24HR Lasting HYD.750ML,https://a4ucontent.blob.core.windows.net/images/0051745_0.png,8.5,18817,,8.5,
"Abd Detergent <br/>
Black and White Premium <br/>
1.2KG",Abd Detergent B/W Premium 1.2KG,https://a4ucontent.blob.core.windows.net/images/0009376_0.png,6.6,1593,,6.6,
"SCOTT'S<br/>
Vitamin C Pastilles (Mango Flavour) <br/>
<span style =""color:grey""> 2 boxes X 100G </span>",SCOTT'S Vit C Mango 2X100G,https://a4ucontent.blob.core.windows.net/images/0052280_0.png,8.5,125489,,8.5,
,Mamy Poko S/Jumbo Open XL 46S+4S,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,21.9,124062,,21.9,
"Gain IQ<br/>
Kid Eye Q Plus Intelli Pro (1.6KG)",Gain Iq Kid Eye Q Plus Int Pro 1.6KG,https://a4ucontent.blob.core.windows.net/images/0051748_0.png,66.4,124359,,66.4,
"Friso Gold <br/>
Wheat Based Milk Cereal <br/>
<span style =""color:grey;""> 300G </span>",Friso Wheat Based Milk Cereal 300G,https://a4ucontent.blob.core.windows.net/images/0051172_0.png,10.0,117331,,10.0,
"Laurier<br/>
F Ultra Gentle Night Wing<br/>
Made in Japan <br/> 
<span style =""color:grey""> 34CM 9S</span>",Laurier F Ultra Gentle Nite Wg 34CM 9S,https://a4ucontent.blob.core.windows.net/images/0052693_0.png,5.35,124370,,5.35,
"Enchanteur<br/>
Hand and Body Lotion Charming<br/>
<span style =""color:grey""> 250ML</span>",Enchanteur H&Body Lotion Charming 250ML,https://a4ucontent.blob.core.windows.net/images/0052719_0.png,5.3,22151,,5.3,
"Gillette <br/>
Fusion Proglide <br/>
<span style =""color:grey"">4S</span>",Gillette Fusion Proglide 4S,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,24.95,21462,,24.95,
"Bifesta <br/>
Water-Based Cotton Cleansing Sheets <br/>
<span style= ""color: gray"">46S</span>",Bifesta Cleansing Moist Sht 46S,https://a4ucontent.blob.core.windows.net/images/0051629_0.png,15.9,114689,,15.9,
"Asience<br/>
Treatment Milk<br/>
<span style =""color:grey""> 120ML</span>",Asience Treatment Milk 120ML,https://a4ucontent.blob.core.windows.net/images/0052675_0.png,16.9,124999,,16.9,
"Dettol <br/>
Lavender Foaming Handwash <br/>
<span style= ""color: gray""> 250ML </span>",Dettol H/Wash Foaming Lav 250ML,https://a4ucontent.blob.core.windows.net/images/0046126_0.png,3.85,20905,,3.85,
"Eagle's <br/>
Henna Black <br/>
<span style= ""color: gray"">10G</span>",EAGLE'S Henna Black 10G,https://a4ucontent.blob.core.windows.net/images/0015108_0.png,4.9,17984,,4.9,
"Bud Fresh<br/>
Florida Water<br/>
<span style =""color:grey""> 195ML</span>",Bud Fresh Florida Water 195ML,https://a4ucontent.blob.core.windows.net/images/0052684_0.png,1.95,20251,,1.95,
"<b><font size=""4"">Adidas</font></b>
<br><b>Shower Gel (Team Force)</b>
<br>
<br><b><span style=""color: grey;""><i>Net Wt: 250ML</i></span>",Adidas Shw Gel Team Force 250ML,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,3.9,119496,,3.9,
"Tancho<br/>
Pure Vegetable Nourishing Pomade<br/>
<span style =""color:grey""> 130</span>",Tc P/Veg Nourishing Pomade 130G,https://a4ucontent.blob.core.windows.net/images/0052729_0.png,4.25,24594,,4.25,
